
Date,Name,Tags,URL,Description
2019-09-07,Venezia76,,https://boxd.it/3Vk2I,

Position,Name,Year,URL,Description
1,Eyes Wide Shut,1999,https://boxd.it/2axs,
2,Victor/Victoria,1982,https://boxd.it/1RzE,
3,Crash,1996,https://boxd.it/29n2,
4,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,
5,Martin Eden,2019,https://boxd.it/lqNO,
6,The Mafia Is No Longer What It Used to Be,2019,https://boxd.it/mRiU,
7,Zumiriki,2019,https://boxd.it/mRDI,
8,Marriage Story,2019,https://boxd.it/hJAw,
9,An Officer and a Spy,2019,https://boxd.it/dZbE,
10,Ema,2019,https://boxd.it/jHWa,
11,Balloon,2019,https://boxd.it/mRPE,
12,Ad Astra,2019,https://boxd.it/ePzI,
13,The Laundromat,2019,https://boxd.it/iLUK,
14,Ecstasy,1933,https://boxd.it/Vee,
15,Francisca,1981,https://boxd.it/3IYO,
16,Saturday Fiction,2019,https://boxd.it/hXmo,
17,The Incredible Shrinking Man,1957,https://boxd.it/1ixS,
18,Joker,2019,https://boxd.it/h4cS,
19,About Endlessness,2019,https://boxd.it/bHua,
20,45 Seconds of Laughter,2019,https://boxd.it/mRV8,
21,The Domain,2019,https://boxd.it/mQB2,
22,Wasp Network,2019,https://boxd.it/g5qa,
23,5 Is the Perfect Number,2019,https://boxd.it/kYxy,
24,My Days of Glory,2019,https://boxd.it/lqRc,
25,Waiting for the Barbarians,2019,https://boxd.it/igTw,
26,Babyteeth,2019,https://boxd.it/iWDU,
27,Giants Being Lonely,2019,https://boxd.it/mRKY,
28,No. 7 Cherry Lane,2019,https://boxd.it/mMg0,
29,Gloria Mundi,2019,https://boxd.it/l1cI,
30,Sole,2019,https://boxd.it/lqQI,
31,Volare,2019,https://boxd.it/mGqS,
32,The Painted Bird,2019,https://boxd.it/h8u2,
